Name,Symbol,Market,Sector,Industry,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales (ttm),Price/book (mrq),Enterprise value/revenue,Enterprise value/EBITDA,Total ESG risk score,Environmental Risk Score,Social Risk Score,Governance Risk Score
CDW Corporation,CDW,NDX,Information Technology Services,Technology,16.46,20.19,22.53,18.54,2.26,0.89,18.5,1.09,13.98,11,4,3,4
"VeriSign, Inc.",VRSN,NDX,Software—Infrastructure,Technology,23.94,24.57,30.95,35.82,3.86,19.22,NA,19.72,28.46,24,3,12,8
"Verisk Analytics, Inc.",VRSK,NDX,Consulting Services,Industrials,30.37,33.57,63.92,35.86,4.41,11.37,14.62,12.57,30.73,21,0,15,6
Microchip Technology Incorporated,MCHP,NDX,Semiconductors,Technology,25.81,34.41,45.85,15.01,1.98,4.89,4.49,6.53,18.04,34,16,9,9
"JD.com, Inc.",JD,NDX,Internet Retail,Consumer Cyclical,95.77,91.58,423.74,31.3,61.95,NA,9.27,NA,NA,25,7,9,9
Intuit Inc.,INTU,NDX,Software—Application,Technology,79.26,75.49,59.95,37.29,4.19,11.56,16.72,11.01,43.26,18,1,11,6
"Activision Blizzard, Inc.",ATVI,NDX,Electronic Gaming & Multimedia,Communication Services,62.95,59.26,40.43,26.88,1.34,9.76,4.83,9.19,28.84,17,0,10,6
"Illumina, Inc.",ILMN,NDX,Diagnostics & Research,Healthcare,56.27,55.2,60.35,49.84,6.04,15.82,12.14,15.52,46.07,11,1,4,6
Sirius XM Holdings Inc.,SIRI,NDX,Broadcasting,Communication Services,25.71,34.18,25.52,23.48,1.89,3.21,NA,4.27,14.97,17,0,8,8
"Tesla, Inc.",TSLA,NDX,Auto Manufacturers,Consumer Cyclical,277.21,287.72,769.92,98.25,0.42,10.78,28.07,11.19,83.52,31,3,17,11
Western Digital Corporation,WDC,NDX,Computer Hardware,Technology,12.82,19.65,NA,7.33,-1.02,0.8,1.39,1.22,14.64,14,3,5,6
"Fiserv, Inc.",FISV,NDX,Information Technology Services,Technology,67.25,90.64,56.21,18.81,1.32,5.4,2.13,7.28,22.63,19,0,12,7
"Zoom Video Communications, Inc.",ZM,NDX,Telecom Services,Communication Services,70.53,70.17,1479.29,161.29,5.05,85.09,78.2,84.66,1117.51,NA,NA,NA,NA
Starbucks Corporation,SBUX,NDX,Restaurants,Consumer Cyclical,89.59,112.02,68.06,28.49,28.86,3.72,NA,4.66,33.24,21,3,13,5
Amgen Inc.,AMGN,NDX,Drug Manufacturers—General,Healthcare,144.24,168.63,20.11,14.62,2.3,5.94,13.53,6.94,13.96,20,0,14,7
"Dollar Tree, Inc.",DLTR,NDX,Discount Stores,Consumer Defensive,22.29,31.21,27.73,16.66,2.72,0.93,3.42,1.3,13.62,20,4,10,6
"Maxim Integrated Products, Inc.",MXIM,NDX,Semiconductors,Technology,18.4,18.02,28.63,25.28,4.74,8.4,11.1,8.22,22.39,24,9,7,8
"Align Technology, Inc.",ALGN,NDX,Medical Devices,Healthcare,23.32,22.97,13.79,43.36,9.24,10.8,8.2,10.63,65.08,NA,NA,NA,NA
Texas Instruments Incorporated,TXN,NDX,Semiconductors,Technology,118.06,122.41,24.2,23.65,2.55,8.62,15.44,8.94,19.45,17,6,5,6
"Baidu, Inc.",BIDU,NDX,Internet Content & Information,Communication Services,40.67,41.3,9.19,13.79,100.83,NA,1.69,NA,NA,26,3,14,10
PACCAR Inc,PCAR,NDX,Farm & Heavy Construction Machinery,Industrials,29.25,37.23,17.85,17.89,-5.87,1.41,2.99,1.8,14.8,35,8,17,9
"Citrix Systems, Inc.",CTXS,NDX,Software—Application,Technology,17.49,18.58,23.87,22.89,2.52,5.46,NA,5.8,23.07,18,1,11,6
"Mondelez International, Inc.",MDLZ,NDX,Confectioners,Consumer Defensive,79.61,99.93,23.9,19.92,3.75,3.08,3.07,3.86,20.07,26,10,11,6
"Applied Materials, Inc.",AMAT,NDX,Semiconductor Equipment & Materials,Technology,59.04,59.32,20.54,14.95,0.8,3.83,6.54,3.84,14.68,15,5,4,5
"Marriott International, Inc.",MAR,NDX,Lodging,Consumer Cyclical,27.73,39.71,30.47,24.5,-21.61,5.54,NA,7.94,17.27,26,10,11,5
"MercadoLibre, Inc.",MELI,NDX,Internet Retail,Consumer Cyclical,55.05,52.98,NA,1044.81,-62.38,22.25,29.49,21.41,-465.46,NA,NA,NA,NA
"DocuSign, Inc.",DOCU,NDX,Software—Application,Technology,39.26,38.3,NA,257.76,13.14,37.14,75.07,36.23,-264.52,NA,NA,NA,NA
"Moderna, Inc.",MRNA,NDX,Biotechnology,Healthcare,28.82,28.45,NA,51.75,-3.31,548.15,17.51,541.16,-56.47,NA,NA,NA,NA
Cerner Corporation,CERN,NDX,Health Information Services,Healthcare,21.69,23.27,43.03,21.66,1.96,3.86,5.41,4.14,20.22,20,0,13,7
The Walt Disney Company,DIS,DJI,Entertainment,Communication Services,208.91,267.6,38.96,38.94,713.67,2.67,2.29,3.42,18.4,16,0,8,8
Microsoft Corporation,MSFT,DJI,Software—Infrastructure,Technology,1540000,1490000,35.4,27.78,2.11,10.79,13.05,10.42,22.66,15,0,9,5
"NIKE, Inc.",NKE,DJI,Footwear & Accessories,Consumer Cyclical,151.03,155.49,60.51,29.61,1.78,4.04,18.85,4.16,36.72,17,2,7,8
Intel Corporation,INTC,DJI,Semiconductors,Technology,204.1,216.97,8.82,10.17,1.15,2.59,2.49,2.75,5.69,15,4,5,6
Johnson & Johnson,JNJ,DJI,Drug Manufacturers—General,Healthcare,386.6,397.07,25.83,16.24,3.67,4.8,6.14,4.93,14.59,33,1,20,11
Verizon Communications Inc.,VZ,DJI,Telecom Services,Communication Services,237.11,367,12.4,11.6,9.79,1.83,3.78,2.83,7.72,20,2,12,6
Pfizer Inc.,PFE,DJI,Drug Manufacturers—General,Healthcare,215.19,260.33,15.34,12.03,2.52,4.37,3.31,5.29,13.01,30,2,16,12
